Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Feminino,56,Médio Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Feminino,23,Fundamental Incompleto,Albuquerque,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,19,Médio Completo,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,32,Médio Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,38,Fundamental Incompleto,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Feminino,20,Médio Completo,Parque São Luiz,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,51,Fundamental Completo,Ermitage,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,51,Médio Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,65,Fundamental Incompleto,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Masculino,51,Médio Incompleto,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,26,Superior Incompleto,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,35,Médio Completo,Fazendinha,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,34,Médio Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Feminino,36,Médio Completo,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,46,Médio Completo,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,36,Médio Completo,Albuquerque,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,71,Médio Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Masculino,45,Médio Completo,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,18,Médio Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,62,Superior Completo,alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,35,Superior Completo,Jardim Serrano,1,CRAS Alto,CRAS Alto,PAIF,Assistente Social
Feminino,65,Médio Completo,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,25,Fundamental Incompleto,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,24,Médio Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,35,Médio Incompleto,Albuquerque,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Masculino,75,Superior Completo,Rio de Janeiro,n/a,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,26,Médio Incompleto,Canoas,3,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,56,Médio Completo,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Psicólogo
Feminino,13,Fundamental Incompleto,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Psicólogo
Feminino,20,Médio Completo,Corta Vento,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,45,Médio Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,43,Médio Completo,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Feminino,63,Fundamental Incompleto,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,25,Médio Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,59,Fundamental Incompleto,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,30,Superior Completo,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Feminino,65,Superior Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,19,Médio Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,44,Médio Incompleto,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,37,Médio Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Masculino,43,Médio Completo,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,51,Fundamental Completo,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,35,Fundamental Completo,Parque São Luiz,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,35,Médio Completo,Corta Vento,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,43,Superior Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Feminino,63,Não Escolarizado,Albuquerque,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,37,Médio Incompleto,Jardim Serrano,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,23,Médio Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,18,Médio Completo,Ermitage,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Feminino,21,Médio Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,PAIF,Assistente social
Feminino,94,Fundamental Incompleto,Vale Paraíso,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,59,Médio Incompleto,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,54,Médio Completo,Fonte Santa,1,CRAS Alto,CRAS Alto,Público Geral,Assistente Social
Feminino,41,Médio Completo,Bairro dos Artistas,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,20,Médio Incompleto,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,34,Superior Incompleto,Jardim Serrano,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,61,Fundamental Incompleto,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,44,Médio Completo,Vale Paraíso,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,29,Superior Incompleto,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,45,Fundamental Completo,Corta Vento,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,40,Superior Completo,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,64,Fundamental Incompleto,Parque São Luiz,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,43,Médio Completo,Soberbo,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,52,Fundamental Incompleto,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,59,Superior Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,35,Fundamental Completo,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,43,Médio Completo,Vale Paraíso,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,53,Fundamental Incompleto,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,44,Médio Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,19,Médio Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,40,Médio Incompleto,Albuquerque,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,44,Médio Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,20,Médio Completo,Vale Paraíso,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,29,Fundamental Incompleto,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,17,Médio Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,29,Médio Completo,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,61,Fundamental Incompleto,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,21,Médio Incompleto,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,19,Médio Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,61,Superior Completo,Canoas,3,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,23,Médio Incompleto,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,20,Médio Completo,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,50,Médio Completo,Fazendinha,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,51,Fundamental Incompleto,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,62,Fundamental Incompleto,Canoas,3,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,58,Fundamental Incompleto,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,60,Fundamental Incompleto,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,52,Superior Completo,Corta Vento,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,36,Médio Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,52,Médio Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,35,Superior Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,30,Médio Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,32,Fundamental Incompleto,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,18,Médio Completo,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,30,Médio Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,21,Médio Completo,Jardim Féo,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,50,Fundamental Incompleto,Granja Guarani,1,CRAS Alto,CRAS Alto,PAIF,Assistente social
Feminino,34,Fundamental Incompleto,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,67,Médio Completo,Albuquerque,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,27,Médio Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,49,Fundamental Incompleto,Albuquerque,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,66,Fundamental Incompleto,Bairro dos Artistas,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,29,Médio Completo,Soberbo,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,21,Médio Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,65,Superior Completo,Vale Paraíso,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,44,Médio Completo,Vale Paraíso,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,42,Médio Completo,Fazendinha,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,30,Médio Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,22,Médio Completo,Vale Paraíso,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,40,Superior Completo,Ermitage,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,45,Fundamental Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,18,Fundamental Incompleto,Providência,2,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,36,Médio Completo,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,50,Médio Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,38,Médio Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,62,Não Escolarizado,Albuquerque,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Masculino,49,Fundamental Incompleto,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,32,Médio Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,21,Médio Completo,Panorama,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,35,Médio Completo,Panorama,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,21,Médio Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,40,Fundamental Incompleto,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,54,Superior Completo,Granja Guarani,1,CRAS Alto,CRAS Alto,PAIF,Assistente social
Feminino,31,Médio Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,60,Fundamental Incompleto,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,24,Superior Incompleto,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,19,Médio Completo,Parque São Luiz,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,22,Médio Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Assistente social
Feminino,46,Médio Completo,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,41,Médio Incompleto,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,65,Médio Completo,Taumaturgo,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,59,Superior Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,83,Médio Completo,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,23,Fundamental Incompleto,Albuquerque,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,66,Fundamental Incompleto,Ermitage,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,75,Fundamental Incompleto,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,78,Fundamental Incompleto,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,48,Fundamental Incompleto,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,75,Médio Completo,Parque São Luiz,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,71,Fundamental Incompleto,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,65,Superior Completo,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,34,Superior Completo,Ermitage,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,64,Fundamental Incompleto,Canoas,3,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,64,Fundamental Incompleto,Canoas,3,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,47,Fundamental Incompleto,Fazendinha,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,68,Fundamental Incompleto,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,61,Fundamental Incompleto,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,43,Fundamental Incompleto,Canoas,3,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,43,Médio Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,39,Médio Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,71,Fundamental Completo,Várzea,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,62,Médio Completo,Vale Paraíso,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,49,Fundamental Incompleto,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,65,Fundamental Completo,Morro dos Pinheiros,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,53,Fundamental Incompleto,Corta Vento,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,66,Fundamental Incompleto,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,60,Fundamental Incompleto,Tijuca,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,61,Médio Incompleto,Jardim Serrano,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,40,Superior Completo,Agriões,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,60,Médio Completo,Bairro dos Artistas,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,76,Fundamental Incompleto,Granja Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,52,Fundamental Completo,Cascata Guarani,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,37,Médio Completo,Fazendinha,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,34,Fundamental Incompleto,Jardim Serrano,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,34,Fundamental Incompleto,Fazendinha,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,58,Fundamental Incompleto,Alto,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,65,Superior Incompleto,Pedreira,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Feminino,45,Médio Incompleto,Corta Vento,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
Masculino,82,Fundamental Incompleto,Ermitage,1,CRAS Alto,CRAS Alto,Público Geral,Cadastro Único
